Order ID,Customer Name,Email,Region,Product,Quantity,Unit Price,Order Date,Delivery Date,Status,Payment Method,Feedback Score,Extra Column
5095,Patricia Huerta,bradleystephens@wright.com,North,Smartphone,4.0,663.87,2024-08-18,2025-06-04,Returned,Net Banking,4.0,RemoveMe
7841,Danielle Booth,kimberly18@gmail.com,South,Smartphone,10.0,1132.11,2024-12-30,2025-03-11,Delivered,Debit Card,2.0,
1766,Dylan Jones,chelseasmith@hotmail.com,North,Mouse,3.0,120.54,2025-04-30,2025-02-18,Pending,Cash,5.0,
1706,Christina Wu,frycatherine@johnson.org,North,Smartphone,10.0,1238.1,2024-11-16,2024-10-04,Cancelled,Net Banking,,
4979,Dominique Rodriguez,jillreyes@oliver.org,East,Tablet,4.0,1286.28,2025-01-10,2024-11-01,Delivered,Debit Card,4.0,
5935,,kimberly51@lane-collier.biz,East,Smartphone,3.0,476.81,2025-01-17,2024-08-06,Returned,Credit Card,2.0,
5498,Tiffany Hubbard,rhondaellison@vasquez-rowe.com,North,Smartphone,3.0,468.08,2024-11-10,2025-03-24,Pending,Credit Card,3.0,
9011,Christine Ruiz,barbara25@yahoo.com,East,Monitor,2.0,1350.63,2024-08-20,2025-02-21,Cancelled,Cash,2.0,
1294,John Jenkins,acox@yahoo.com,West,Keyboard,4.0,405.86,2024-07-12,2024-08-14,Delivered,Debit Card,3.0,
3619,Alan Dalton MD,richardsmichael@gmail.com,West,Smartphone,4.0,139.12,2025-03-08,2024-10-26,Pending,Cash,1.0,
9417,Helen Hopkins,NA,South,Monitor,1.0,1130.73,2025-04-26,2025-05-07,Cancelled,UPI,5.0,RemoveMe
5452,Suzanne Castro,eddie33@yahoo.com,East,Laptop,9.0,137.15,2025-06-09,2025-07-01,Cancelled,Debit Card,1.0,
9772,Allison Stevens,monica10@sanchez.com,East,Mouse,1.0,306.42,2025-06-17,2025-04-28,Pending,UPI,2.0,
4423,Angela White,williamshort@jones-lopez.com,South,Keyboard,8.0,167.39,2025-01-01,2024-08-12,Pending,Debit Card,3.0,
2057,Michelle Wallace,ldavis@hotmail.com,West,Monitor,6.0,1120.36,2024-11-15,2024-10-17,Delivered,Debit Card,2.0,
5381,Sarah Anderson,rthomas@grant-gordon.com,north,Smartphone,4.0,847.33,2024-08-19,2025-03-17,Returned,UPI,2.0,
7861,Robert Ross,dylanrussell@yahoo.com,East,Monitor,1.0,918.94,2024-10-20,2025-06-24,Returned,UPI,2.0,
3600,Sabrina Jenkins,howard71@yahoo.com,North,Smartphone,7.0,1417.45,2025-04-14,2024-08-02,Cancelled,UPI,2.0,
3450,Kristi Hopkins DVM,powellchristian@nicholson-peterson.com,South,Monitor,4.0,223.77,2025-06-18,2025-04-14,Returned,Net Banking,4.0,
1995,Heidi Anderson,cannondonna@lopez-watson.org,West,Tablet,6.0,1250.15,2024-10-13,2024-08-16,Pending,Credit Card,5.0,
3527,Melanie Ray,warren29@yahoo.com,North,MOUSE,3.0,404.62,2024-10-20,2024-07-24,Cancelled,UPI,2.0,RemoveMe
3452,Jeffrey Nelson,lindsay23@yahoo.com,East,Mouse,10.0,943.12,2024-11-02,2025-01-18,Pending,Net Banking,5.0,
5838,Michael Carlson,butlerbryan@hill.org,West,Monitor,6.0,149.23,2024-08-26,2025-07-01,Returned,Credit Card,5.0,
1865,Terry Hamilton,madisonmitchell@rosales.com,West,Monitor,9.0,359.95,2024-10-22,2024-07-12,Returned,UPI,3.0,
6850,Stacey Wells,rodrigueztimothy@yahoo.com,North,Smartphone,7.0,1081.91,2024-08-03,2024-09-25,Pending,Cash,4.0,
7022,Christine Solis,kimberlybaker@johnson.com,West,Smartphone,,1153.68,2024-09-25,2024-07-12,Delivered,Credit Card,3.0,
3840,Catherine Tucker MD,omar43@costa.com,West,Keyboard,5.0,676.54,2024-09-29,2024-10-14,Delivered,Debit Card,3.0,
2814,Damon Hill,grush@chapman.com,North,Mouse,4.0,198.64,2024-11-11,2025-01-19,Pending,Credit Card,3.0,
